category_id	pos	concept_id	concept_ru	concept_en	wdh
A11	NOUN	1	земля, суша	land, ground	astronomy
A11	NOUN	2	небо	sky	astronomy
A11	NOUN	3	солнце	sun	astronomy
A11	VERB	4	взойти (о небесных светилах)	to rise (of a heavenly body)	astronomy
A11	VERB	5	опуститься, закатиться (о небесных светилах)	то descend, to set (of a heavenly body)	astronomy
A11	NOUN	6	луна	moon	astronomy
A11	NOUN	7	звезда	star	astronomy
A11	NOUN	1434	пешеход	pedestrian	astronomy
A12	NOUN	8	погода	weather	meteorology
A12	ADJ	9	тёмный (о ночи)	dark, gloomy	meteorology
A12	ADJ	10	мокрый	wet	meteorology
A12	NOUN	11	изморось (мелкий дождь)	drizzle	meteorology
A12	NOUN	12	слякоть	slush	meteorology
A12	NOUN	13	вёдро	fair weather	meteorology
A12	ADJ	14	ясный (о погоде)	clear; lucid	meteorology
A12	ADJ	15	сухой	dry	meteorology
A12	NOUN	16	роса	dew	meteorology
A12	NOUN	17	тень (пространство, защищенное от солнца)	shadow (space protected from the sun)	meteorology
A12	NOUN	18	тень (отражение от человека или предмета)	shadow (reflection from a person or object)	meteorology
A12	NOUN	19	сумерки	twilight, dusk	meteorology
A12	NOUN	20	туман	fog	meteorology
A12	NOUN	21	пар	steam, vapor	meteorology
A12	NOUN	22	дождь	rain	meteorology
A12	VERB	23	дождить	to rain	meteorology
A12	VERB	24	капать	to drip, to dribble	meteorology
A12	NOUN	25	ветер	wind	meteorology
A12	VERB	26	дуть (о ветре)	to blow (about the wind)	meteorology
A12	NOUN	27	ветер весенний	spring wind	meteorology
A12	NOUN	28	вихрь	whirlwind	meteorology
A12	NOUN	29	радуга	rainbow	meteorology
A12	NOUN	30	лужа	puddle	meteorology
A12	NOUN	31	град	hail	meteorology
A12	NOUN	32	снег	snow	meteorology
A12	NOUN	33	мороз	frost	meteorology
A12	NOUN	34	лёд	ice	meteorology
A12	NOUN	35	заморозок	overnight freeze, cold snap	meteorology
A12	NOUN	36	иней	hoarfrost	meteorology
A12	NOUN	37	пороша	freshly-fallen snow	meteorology
A12	NOUN	38	метель	blizzard, snowstorm	meteorology
A12	NOUN	39	сугроб	snowbank	meteorology
A12	NOUN	40	мерзлота	permafrost	meteorology
A12	NOUN	41	наст	crust	meteorology
A12	VERB	42	таять (о снеге)	to melt	meteorology
A21	NOUN	43	вода	water	geography, oceanography
A21	NOUN	44	ручей	brook	geography, oceanography
A21	NOUN	45	река	river	geography, oceanography
A21	NOUN	46	берег	coast	geography, oceanography
A21	NOUN	47	дно (водоёма)	bottom	geography, oceanography
A21	NOUN	48	волна	wave	geography, oceanography
A21	VERB	49	утихать, успокаиваться (о ветре, реке, море и т.п.)	to subside (of wind, storm, sea, water, or natural forces)	geography, oceanography
A21	NOUN	50	водоворот	vortex	geography, oceanography
A21	NOUN	51	полынья	clearing, water opening	geography, oceanography
A21	NOUN	52	прорубь	ice hole	geography, oceanography
A21	NOUN	53	озеро	lake	geography, oceanography
A21	NOUN	54	маленькое лесное озеро	small forest lake	geography, oceanography
A21	NOUN	55	пространство озера (вдали от берегов)	Lake area (away from the coast)	geography, oceanography
A21	NOUN	56	ил	silt	geography, oceanography
A21	NOUN	57	пролив	strait	geography, oceanography
A21	NOUN	58	залив	bay	geography, oceanography
A21	NOUN	59	наволок, мыс	cape, promontory	geography, oceanography
A21	NOUN	60	море	sea	geography, oceanography
A21	ADJ	61	глубокий	deep	geography, oceanography
A21	ADJ	62	мелкий (неглубокий)	shallow	geography, oceanography
A21	NOUN	63	болото	bog	geography, oceanography
A21	NOUN	64	подснежная вода	subnival water 	geography, oceanography
A22	NOUN	65	гора	mountain	earth, geology
A22	NOUN	66	скала	cliff	earth, geology
A22	NOUN	67	низина	lowland	earth, geology
A22	NOUN	68	пойма, заливной луг	floodplain, floodplain meadow	earth, geology
A22	NOUN	69	глина	clay	earth, geology
A22	NOUN	70	песок	sand	earth, geology
A22	NOUN	71	камень	stone	earth, geology
A22	NOUN	72	золото	gold (metal)	earth, geology
A22	NOUN	73	серебро	silver	earth, geology
A22	NOUN	74	медь	copper	earth, geology
A22	NOUN	75	свинец	lead (metal)	earth, geology
A22	NOUN	76	железо	iron	earth, geology
A22	NOUN	77	ртуть	mercury (Hg)	earth, geology
A31	VERB	78	расти	to grow	biology, plants
A31	NOUN	79	цветок	flower	biology, plants
A31	NOUN	80	стебель травянистого растения	stem, stalk	biology, plants
A31	NOUN	81	колос	ear, spike	biology, plants
A31	VERB	82	цвести	to bloom, to blossom, to flower	biology, plants
A31	VERB	83	спеть	to ripen	biology, plants
A31	NOUN	84	мох	moss	biology, plants
A31	NOUN	85	камыш	rush, reed	biology, plants
A31	NOUN	86	трава прошлогодняя	last year's grass	biology, plants
A321	NOUN	87	дерево	tree	biology, plants
A321	ADJ	88	гнилой (о дереве)	rotten	biology, plants
